RiskRank,Id,RiskScore,RiskScorePercent,Threshold,ReviewRequired,Decision,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,85117,0.8858698762133399,88.58698762133399,0.07424190003697577,1,대출 보류(추가 심사),1.118240947,45,3,1.494220556,3200.0,13,7,1,3,2.0
2,57610,0.8740939536433567,87.40939536433568,0.07424190003697577,1,대출 보류(추가 심사),1.227846519,34,3,0.924576816,4666.0,14,3,2,2,3.0
3,81702,0.8693023573508357,86.93023573508357,0.07424190003697577,1,대출 보류(추가 심사),0.9999999,38,3,0.642998306,7083.0,4,4,2,3,4.0
4,51684,0.8657024779833373,86.57024779833374,0.07424190003697577,1,대출 보류(추가 심사),1.386006663,75,1,0.487403101,1031.0,6,4,0,6,0.0
5,42197,0.8573772223614439,85.73772223614439,0.07424190003697577,1,대출 보류(추가 심사),1.049290863,76,6,1953.0,,5,4,1,3,0.0
6,38939,0.8552136931046579,85.52136931046579,0.07424190003697577,1,대출 보류(추가 심사),1.127098321,36,2,0.744659956,4072.0,4,7,1,1,2.0
7,44758,0.8427250261987597,84.27250261987597,0.07424190003697577,1,대출 보류(추가 심사),1.002507132,44,2,1.321095396,6645.0,20,0,8,4,3.0
8,61712,0.8397648560343259,83.9764856034326,0.07424190003697577,1,대출 보류(추가 심사),1.411993337,33,2,0.426493919,3781.0,6,3,1,3,3.0
9,25793,0.839388729018915,83.9388729018915,0.07424190003697577,1,대출 보류(추가 심사),1.210811492,40,3,0.328606542,5288.0,7,5,0,4,3.0
10,59503,0.8393407427878757,83.93407427878758,0.07424190003697577,1,대출 보류(추가 심사),1.03199086,56,2,0.498350165,10000.0,8,9,2,5,3.0
11,51052,0.8388385382966131,83.88385382966132,0.07424190003697577,1,대출 보류(추가 심사),1.121587841,49,3,0.844713891,4700.0,15,3,1,4,1.0
12,84730,0.8341337411694043,83.41337411694043,0.07424190003697577,1,대출 보류(추가 심사),0.990668222,39,4,0.597940206,10000.0,3,4,1,3,3.0
13,66067,0.8320162178751747,83.20162178751747,0.07424190003697577,1,대출 보류(추가 심사),1.194511314,37,6,0.818727091,3000.0,14,1,2,7,2.0
14,77313,0.8300295420496634,83.00295420496634,0.07424190003697577,1,대출 보류(추가 심사),1.02426838,56,3,0.577193632,2700.0,13,5,1,2,0.0
15,67948,0.8294263877092823,82.94263877092824,0.07424190003697577,1,대출 보류(추가 심사),1.212123331,58,3,0.696756937,2990.0,20,5,1,9,3.0
16,32747,0.8294071671658875,82.94071671658875,0.07424190003697577,1,대출 보류(추가 심사),0.9999999,57,98,0.0,617.0,0,98,0,98,0.0
17,16261,0.8291876954637931,82.91876954637931,0.07424190003697577,1,대출 보류(추가 심사),1.320738514,62,2,768.0,,4,5,0,3,0.0
18,75966,0.8284505893710576,82.84505893710576,0.07424190003697577,1,대출 보류(추가 심사),1.196642686,27,1,1.629842539,4000.0,12,2,3,6,1.0
19,61121,0.8284141063884664,82.84141063884664,0.07424190003697577,1,대출 보류(추가 심사),1.043912176,47,2,513.0,,6,5,0,5,0.0
